Timestamp,Year Level,Network , Primarily use , Dual SIM phone,Reason , Any problems or issue,Satisfaction,,,,,,
12/28/2023 22:06:04,BSIT 2,TM,Personal Use,No,Familiarity/Long-Time User,"No , I don't encounter anything",Very Satisfied,,,,,,
12/31/2023 12:13:30,BSIT 1,Globe,For School,No,Family/Friends,"No , I don't encounter anything",Satisfied,,,,,,
12/31/2023 12:14:05,BSIT 1,Smart,Personal Use,No,Better Network Coverage,"No , I don't encounter anything",Satisfied,,,,,,
12/31/2023 12:33:13,BSIT 1,Globe,For School,Yes,Better Network Coverage,Phishing Attempts,Satisfied,,,,,,
12/31/2023 12:38:16,BSIT 1,TNT,For School,Yes,Family/Friends,"No , I don't encounter anything",Very Dissatisfied,,,,,,
12/31/2023 12:53:57,BSIT 1,Smart,Personal Use,Yes,Better Network Coverage,"Spam Messages, Spam Calls",Satisfied,,,,,,
12/31/2023 13:01:16,BSIT 1,Globe,For School,Yes,Better Network Coverage,"Spam Messages, Spam Calls, Poor Internet Connectivity",Neutral,,,,,,
12/31/2023 13:12:31,BSIT 1,TNT,Personal Use,Yes,Familiarity/Long-Time User,"Spam Messages, Poor Internet Connectivity",Very Satisfied,,,,,,
12/31/2023 14:28:29,BSIT 1,TM,Personal Use,No,Others,"No , I don't encounter anything",Satisfied,,,,,,
1/1/2024 22:07:29,BSIT 1,Globe,For School,No,Better Network Coverage,Phishing Attempts,Neutral,,,,,,
1/3/2024 20:29:29,BSIT 1,Globe,Personal Use,Yes,Better Network Coverage,"No , I don't encounter anything",Very Satisfied,,,,,,
1/3/2024 20:30:49,BSIT 1,Smart,Personal Use,Yes,"Better Network Coverage, Promotional Offers or Discounts, Familiarity/Long-Time User, Security","Spam Messages, Poor Internet Connectivity",Satisfied,,,,,,
1/3/2024 20:30:49,BSIT 1,Smart,Personal Use,Yes,Familiarity/Long-Time User,"No , I don't encounter anything",Neutral,,,,,,
1/3/2024 20:33:44,BSIT 1,DIto,For School,Yes,Family/Friends,Spam Messages,Very Satisfied,,,,,,
1/3/2024 21:20:28,BSIT 1,TNT,Personal Use,Yes,Promotional Offers or Discounts,"No , I don't encounter anything",Satisfied,,,,,,
1/3/2024 23:52:52,BSIT 2,Smart,Personal Use,Yes,Promotional Offers or Discounts,Spam Messages,Satisfied,,,,,,
1/3/2024 23:57:34,BSIT 1,Globe,For School,Yes,Better Network Coverage,"Spam Messages, Poor Internet Connectivity",Neutral,,,,,,
1/3/2024 23:58:11,BSIT 3,Smart,For Work,No,"Promotional Offers or Discounts, Familiarity/Long-Time User",Weak signal in other places,Satisfied,,,,,,
1/3/2024 23:58:18,BSIT 3,Globe,For School,No,"Better Network Coverage, Promotional Offers or Discounts, Customer Service Quality","Spam Messages, Spam Calls, Poor Internet Connectivity",Satisfied,,,,,,
1/3/2024 23:59:23,BSIT 2,Smart,For Work,No,Familiarity/Long-Time User,weak signal in different places,Satisfied,,,,,,
1/4/2024 0:00:08,BSIT 2,"Smart, Globe, TNT",Personal Use,Yes,Better Network Coverage,"Spam Messages, Phishing Attempts, SIM Card Compatibility Problems",Neutral,,,,,,
1/4/2024 0:01:47,BSIT 2,Smart,Personal Use,Yes,"Better Network Coverage, Familiarity/Long-Time User","Spam Messages, Poor Internet Connectivity",Satisfied,,,,,,
1/4/2024 0:22:15,BSIT 2,DIto,For School,Yes,"Better Network Coverage, Promotional Offers or Discounts, Familiarity/Long-Time User, Customer Service Quality, Family/Friends, Security","Spam Messages, Phishing Attempts, Poor Internet Connectivity",Very Satisfied,,,,,,
1/4/2024 0:51:00,BSIT 3,TM,For School,No,Family/Friends,Spam Messages,Neutral,,,,,,
1/4/2024 7:02:26,BSIT 2,DIto,Personal Use,Yes,Better Network Coverage,Spam Messages,Very Satisfied,,,,,,
1/4/2024 7:38:34,BSIT 2,"Smart, Globe, DIto",Personal Use,Yes,"Better Network Coverage, Promotional Offers or Discounts, Familiarity/Long-Time User, Customer Service Quality, Family/Friends","Spam Messages, Phishing Attempts, SIM Card Compatibility Problems",Satisfied,,,,,,
